id,output
1,27.4193333333
2,14.676
3,32.6706666667
4,39.8986666667
5,15.8406666667
6,15.734
7,17.2266666667
8,35.0466666667
9,34.5673333333
10,28.6066666667
11,37.856
12,15.8406666667
13,17.4666666667
14,35.0466666667
15,14.4353333333
16,40.832
17,13.95
18,35.0466666667
19,22.3273333333
20,17.4666666667
21,30.6873333333
22,38.0233333333
23,42.3846666667
24,20.948
25,27.4193333333
26,26.7826666667
27,34.3293333333
28,12.4933333333
29,19.8846666667
30,31.5593333333
31,17.2493333333
32,11.4433333333
33,27.4193333333
34,12.2833333333
35,35.0466666667
36,40.832
37,18.444
38,17.2493333333
39,15.734
40,17.4666666667
41,18.444
42,28.9473333333
43,14.4353333333
44,16.4766666667
45,39.8986666667
46,39.8986666667
47,18.444
48,42.3846666667
49,20.948
50,26.7826666667
51,14.796
52,28.9473333333
53,29.9566666667
54,15.6526666667
55,29.9566666667
56,17.096
57,32.6706666667
58,31.5593333333
59,29.9566666667
60,30.6873333333
61,15.6526666667
62,35.6553333333
63,39.8986666667
64,19.8846666667
65,34.5673333333
66,22.3273333333
67,40.832
68,17.096
69,43.9533333333
70,29.9566666667
71,35.6553333333
72,15.8406666667
73,31.5593333333
74,17.2493333333
75,14.4353333333
76,39.8986666667
77,32.6706666667
78,30.53
79,40.832
80,26.7826666667
81,14.676
82,14.718
83,27.4193333333
84,17.2266666667
85,16.4766666667
86,28.9473333333
87,20.948
88,43.9533333333
89,21.99
90,17.096
91,26.5066666667
92,42.3846666667
93,15.6526666667
94,17.2266666667
95,15.3393333333
96,31.5593333333
97,32.4473333333
98,14.718
99,38.0233333333
100,24.1066666667
101,14.796
102,18.444
103,15.734
104,40.832
105,15.3393333333
106,34.3293333333
107,26.7826666667
108,28.9473333333
109,32.4473333333
110,22.3273333333
111,15.734
112,42.3846666667
113,14.718
114,37.856
115,32.6706666667
116,14.796
117,15.8406666667
118,16.4766666667
119,15.3393333333
120,35.6553333333
121,38.0233333333
122,16.4766666667
123,19.8846666667
124,15.734
125,43.9533333333
126,14.796
127,17.2493333333
128,15.3393333333
129,17.096
130,13.95
131,27.4193333333
132,17.2493333333
133,13.95
134,38.0233333333
135,14.676
136,34.5673333333
137,14.676
138,15.3393333333
139,14.4353333333
140,22.3273333333
141,14.4353333333
142,30.6873333333
143,14.718
144,13.95
145,35.0466666667
146,15.6526666667
147,15.6526666667
148,17.4666666667
149,43.9533333333
150,11.92
151,37.856
152,32.6706666667
153,31.5593333333
154,29.9566666667
155,37.856
156,35.6553333333
157,34.5673333333
158,38.0233333333
159,19.8846666667
160,15.8406666667
161,22.3273333333
162,14.796
163,17.27
164,17.096
165,34.5673333333
166,19.8846666667
167,26.7826666667
168,20.948
169,17.4666666667
170,34.3293333333
171,43.9533333333
172,14.676
173,13.95
174,28.9473333333
175,32.4473333333
176,12.6433333333
177,14.718
178,30.6873333333
179,17.2266666667
180,20.948
181,35.6553333333
182,37.25
183,32.4473333333
184,34.3293333333
185,32.4473333333
186,16.4766666667
187,34.3293333333
188,37.856
189,42.3846666667
190,17.2266666667
191,18.444
192,30.6873333333
