id,quality
1,5.5
2,7.0
3,5.66666666667
4,6.0
5,6.0
6,6.0
7,6.0
8,5.5
9,5.5
10,6.5
11,5.0
12,4.5
13,5.5
14,5.5
15,5.0
16,5.5
17,7.0
18,6.0
19,5.0
20,7.0
21,6.0
22,5.5
23,5.0
24,5.0
25,5.0
26,5.5
27,5.0
28,6.0
29,5.0
30,5.5
31,6.5
32,5.5
33,6.0
34,5.5
35,6.0
36,5.5
37,5.5
38,5.5
39,6.5
40,5.5
41,5.5
42,6.0
43,6.5
44,6.0
45,5.5
46,5.66666666667
47,5.5
48,5.0
49,5.5
50,5.0
51,5.5
52,5.5
53,6.5
54,6.0
55,5.5
56,6.0
57,5.5
58,5.5
59,5.5
60,6.5
61,6.0
62,5.5
63,5.5
64,5.0
65,5.5
66,5.0
67,6.5
68,5.5
69,5.5
70,5.5
71,5.0
72,5.66666666667
73,5.5
74,6.5
75,6.5
76,5.0
77,5.0
78,5.0
79,5.5
80,5.5
81,5.0
82,4.5
83,5.5
84,5.5
85,6.5
86,5.0
87,4.5
88,5.5
89,6.5
90,6.5
91,5.0
92,6.5
93,6.5
94,6.0
95,5.5
96,6.5
97,4.5
98,6.5
99,5.0
100,5.66666666667
101,5.5
102,5.66666666667
103,6.0
104,5.5
105,5.5
106,6.5
107,5.5
108,6.0
109,8.0
110,5.0
111,6.0
112,5.5
113,5.0
114,5.5
115,6.5
116,5.0
117,5.5
118,5.0
119,5.5
120,5.5
121,5.5
122,5.5
123,7.0
124,6.5
125,6.5
126,6.5
127,6.5
128,5.0
129,6.0
130,6.5
131,6.5
132,5.0
133,5.0
134,5.0
135,5.66666666667
136,5.0
137,6.5
138,6.0
139,6.5
140,5.5
141,5.5
142,6.5
143,5.66666666667
144,5.0
145,5.5
146,5.0
147,5.5
148,6.0
149,6.5
150,6.0
151,5.0
152,6.0
153,5.66666666667
154,6.0
155,5.0
156,5.5
157,6.5
158,5.5
159,6.5
160,5.0
161,6.0
162,5.66666666667
163,5.5
164,5.0
165,5.5
166,5.5
167,5.0
168,6.0
169,6.5
170,5.0
171,6.0
172,5.5
173,5.0
174,5.0
175,6.5
176,6.5
177,5.0
178,5.0
179,6.0
180,6.0
181,6.5
182,5.5
183,6.5
184,5.0
185,5.5
186,5.5
187,6.5
188,6.5
189,6.0
190,5.5
191,6.5
192,5.0
193,6.5
194,6.5
195,5.0
196,5.0
197,6.0
198,5.0
199,6.5
200,6.0
201,6.0
202,5.0
203,5.5
204,4.5
205,5.0
206,5.0
207,5.5
208,5.5
209,6.5
210,7.0
211,5.5
212,5.0
213,5.5
214,6.0
215,5.5
216,5.0
217,5.5
218,5.5
219,5.5
220,5.66666666667
221,5.5
222,5.5
223,7.0
224,5.5
225,5.0
226,6.0
227,5.0
228,5.0
229,6.5
230,5.0
231,6.5
232,5.0
233,5.0
234,5.66666666667
235,5.0
236,5.0
237,6.0
238,6.5
239,5.5
240,5.5
241,5.5
242,6.5
243,5.5
244,5.5
245,5.0
246,6.5
247,5.5
248,5.5
249,5.5
250,5.0
251,6.0
252,6.0
253,5.5
254,5.5
255,5.0
256,6.0
257,5.5
258,6.5
259,5.5
260,5.5
261,6.0
262,5.5
263,6.0
264,6.5
265,5.0
266,5.5
267,6.5
268,5.5
269,5.5
270,7.0
271,5.5
272,5.0
273,6.5
274,5.5
275,5.5
276,6.5
277,5.66666666667
278,5.5
279,5.0
280,6.0
281,6.5
282,6.5
283,6.0
284,6.0
285,5.0
286,5.5
287,5.5
288,5.5
289,5.5
290,6.5
291,6.5
292,5.5
293,6.0
294,6.5
295,6.0
296,6.5
297,6.5
298,5.66666666667
299,6.5
300,5.0
301,5.5
302,6.5
303,5.0
304,6.5
305,6.5
306,5.5
307,5.5
308,5.66666666667
309,6.0
310,5.5
311,6.5
312,5.5
313,5.5
314,7.0
315,6.0
316,6.0
317,6.5
318,6.0
319,5.5
320,5.5
321,5.5
322,5.0
323,5.66666666667
324,5.5
325,6.0
326,7.0
327,5.0
328,5.5
329,6.5
330,5.5
331,5.5
332,5.5
333,6.0
334,5.0
335,5.5
336,5.0
337,5.66666666667
338,4.0
339,6.5
340,6.5
341,5.5
342,5.5
343,6.5
344,5.5
345,5.5
346,5.5
347,5.5
348,5.5
349,6.0
350,6.5
351,6.5
352,6.0
353,5.0
354,5.5
355,5.0
356,5.0
357,5.5
358,6.5
359,5.5
360,5.0
361,5.5
362,5.0
363,5.0
364,6.0
365,5.5
366,5.0
367,6.0
368,6.0
369,5.0
370,6.5
371,5.5
372,5.0
373,5.5
374,6.5
375,5.5
376,6.5
377,6.0
378,6.5
379,5.0
380,5.5
381,6.5
382,5.0
383,5.66666666667
384,5.5
385,6.0
386,6.0
387,5.0
388,6.0
389,6.5
390,5.66666666667
391,6.5
392,6.5
393,5.0
394,5.0
395,6.0
396,5.0
397,5.5
398,6.5
399,6.0
400,5.5
401,5.5
402,5.5
403,5.5
404,5.66666666667
405,5.0
406,5.5
407,5.5
408,5.5
409,4.5
410,5.5
411,5.0
412,6.0
413,5.0
414,7.0
415,5.5
416,5.5
417,5.0
418,6.5
419,5.0
420,6.5
421,5.5
422,6.5
423,5.5
424,5.5
425,6.0
426,5.5
427,5.5
428,5.5
429,6.5
430,4.5
431,6.5
432,5.0
433,6.5
434,5.0
435,5.0
436,6.0
437,6.5
438,4.5
439,5.66666666667
440,5.66666666667
441,6.0
442,5.0
443,5.5
444,7.0
445,5.5
446,5.5
447,5.5
448,6.5
449,6.0
450,6.5
451,6.5
452,6.0
453,6.0
454,5.5
455,5.0
456,5.0
457,5.5
458,5.5
459,5.5
460,4.5
461,6.0
462,5.0
463,5.5
464,5.5
465,5.5
466,5.0
467,6.5
468,5.5
469,6.5
470,6.5
471,5.0
472,5.66666666667
473,5.5
474,6.5
475,6.5
476,5.5
477,6.5
478,5.0
479,5.0
480,6.5
481,5.0
482,6.0
483,6.0
484,5.0
485,5.0
486,6.5
487,6.5
488,5.0
489,5.5
490,5.0
491,5.5
492,6.0
493,5.0
494,5.0
495,6.0
496,7.0
497,5.5
498,6.5
499,5.0
500,5.0
501,6.0
502,5.5
503,6.5
504,5.5
505,6.0
506,6.5
507,5.0
508,5.5
509,5.0
510,5.0
511,5.5
512,5.5
513,5.5
514,5.5
515,5.5
516,5.0
517,5.5
518,5.5
519,5.0
520,5.5
521,5.0
522,6.5
523,5.0
524,6.5
525,5.5
526,6.0
527,5.5
528,6.5
529,6.5
530,5.66666666667
531,6.0
532,6.0
533,5.5
534,6.0
535,5.0
536,5.5
537,5.5
538,5.5
539,5.0
540,6.5
541,5.5
542,5.0
543,5.66666666667
544,5.0
545,5.5
546,6.5
547,5.0
548,5.0
549,5.5
550,5.0
551,4.5
552,5.0
553,7.0
554,5.5
555,6.5
556,5.5
557,6.5
558,5.5
559,5.0
560,5.5
561,5.66666666667
562,6.5
563,6.5
564,5.0
565,6.0
566,5.5
567,5.5
568,5.5
569,6.5
570,5.5
571,5.5
572,6.0
573,6.5
574,6.0
575,6.5
576,5.5
577,5.5
578,5.5
579,5.66666666667
580,5.5
581,6.0
582,5.5
583,5.0
584,6.0
585,6.0
586,6.0
587,5.5
588,6.5
589,6.5
590,6.5
591,6.5
592,5.5
593,5.66666666667
594,5.0
595,7.0
596,5.0
597,5.0
598,5.5
599,5.0
600,5.0
601,5.0
602,5.5
603,5.5
604,5.5
605,6.5
606,6.0
607,6.0
608,5.5
609,5.5
610,5.5
611,5.5
612,5.0
613,7.0
614,5.5
615,6.5
616,5.0
617,5.5
618,6.5
619,5.5
620,5.66666666667
621,5.0
622,5.5
623,5.0
624,5.0
625,5.0
626,5.5
627,6.5
628,6.5
629,5.0
630,6.5
631,5.5
632,5.5
633,5.5
634,7.0
635,6.5
636,5.5
637,5.0
638,5.0
639,5.5
640,5.5
641,5.5
642,5.0
643,6.5
644,5.5
